TimeStamp,Is_Participate,PosterScore,PhraseScore,ChooseHigh_Poster,ChooseLow_Poster,ChooseHigh_Phrases1,ChooseHigh_Phrases2,ChooseHigh_Phrases3,Age,Sex,あなたは家のゴミを自分で捨てますか？,あなた自身はごみの分別に対する意識が高いと思いますか？（１：非常にそう思わない～５：非常にそう思う）,あなた自身は環境に対する意識が高いと思いますか？（１：非常にそう思わない～５：非常にそう思う）,このアンケートで感じたことを教えてください。（任意）,普段の生活でゴミの分別や環境に対して特に意識していることがあればご記入ください。（任意）
8/21/2024 11:09:50,協力します。,30,1,4,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50代,女性,はい,3,3,,
8/21/2024 11:10:01,協力します。,75,45,1,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50代,男性,はい,4,3,,
8/21/2024 11:10:09,協力します。,7,7,2,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,女性,はい,4,4,,
8/21/2024 11:10:39,協力します。,5,50,4,3,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30代,女性,いいえ（同居人が捨てる）,3,3,,
8/21/2024 11:10:39,協力します。,60,80,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60代,男性,はい,4,2,,
8/21/2024 11:11:02,協力します。,60,67,4,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,女性,いいえ（同居人が捨てる）,2,3,,
8/21/2024 11:11:03,協力します。,7,7,2,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,女性,はい,4,4,,
8/21/2024 11:11:07,協力します。,99,40,1,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30代,男性,はい,5,5,しっかり捨てる,特にない
8/21/2024 11:11:42,協力します。,50,50,2,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,20代,男性,いいえ（同居人が捨てる）,1,1,,
8/21/2024 11:12:09,協力します。,100,100,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60代,女性,はい,4,4,環境保護のためにも分別は大切,
8/21/2024 11:12:37,協力します。,51,51,3,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30代,男性,はい,3,3,,
8/21/2024 11:12:55,協力します。,100,100,2,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60代,男性,いいえ（同居人が捨てる）,5,5,,
8/21/2024 11:13:20,協力します。,80,80,2,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30代,女性,はい,4,3,,
8/21/2024 11:13:39,協力します。,5,5,1,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,60代,男性,はい,3,3,,
8/21/2024 11:13:42,協力します。,6,8,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60代,女性,いいえ（同居人が捨てる）,4,4,,
8/21/2024 11:14:13,協力します。,5,10,2,2,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,男性,はい,5,4,環境,環境
8/21/2024 11:14:34,協力します。,50,60,3,4,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,男性,はい,5,5,,
8/21/2024 11:14:54,協力します。,65,95,3,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,男性,はい,4,4,,分別はキチンとする
8/21/2024 11:15:45,協力します。,85,1,1,4,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,10代,男性,はい,5,1,ちょっと意味がわからない,
8/21/2024 11:15:51,協力します。,40,60,3,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30代,男性,はい,3,2,,ペットボトルのラベルを剥がしている
8/21/2024 11:15:54,協力します。,47,15,4,2,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40代,男性,はい,3,3,,
8/21/2024 11:15:57,協力します。,82,57,4,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,男性,はい,4,4,,
8/21/2024 11:16:05,協力します。,20,20,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,30代,回答したくない,回答したくない,1,1,,
8/21/2024 11:16:11,協力します。,5,10,2,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60代,女性,いいえ（同居人が捨てる）,4,4,,
8/21/2024 11:16:21,協力します。,45,30,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30代,男性,はい,4,3,,リサイクルできるものは近隣のスーパーで回収してもらう。
8/21/2024 11:16:32,協力します。,46,30,4,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30代,男性,はい,3,3,,
8/21/2024 11:16:33,協力します。,6,8,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30代,女性,はい,3,3,,
8/21/2024 11:16:34,協力します。,10,100,3,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50代,女性,いいえ（同居人が捨てる）,4,3,,
8/21/2024 11:16:42,協力します。,8,8,3,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,男性,いいえ（同居人が捨てる）,3,4,資源ごみの理解度が必要と感じました。,ゴミの分別は意識しています。
8/21/2024 11:16:59,協力します。,50,56,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,30代,男性,はい,3,3,,
8/21/2024 11:17:29,協力します。,5,5,1,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,男性,いいえ（同居人が捨てる）,4,3,,
8/21/2024 11:17:46,協力します。,4,2,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,男性,はい,4,4,,
8/21/2024 11:17:50,協力します。,70,60,2,3,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50代,女性,いいえ（同居人が捨てる）,3,3,文章は難しい,
8/21/2024 11:18:55,協力します。,1,9,1,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60代,男性,はい,4,3,もう少し質問の文章を考えないと正しいデータが集まりませんよ。,水を守るため洗いきれない資源ゴミは無理して洗わず燃えるごゴミに出しています。
8/21/2024 11:19:16,協力します。,6,30,2,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60代,男性,はい,4,4,,
8/21/2024 11:19:30,協力します。,20,100,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,男性,はい,5,3,,
8/21/2024 11:20:17,協力します。,5,1,2,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40代,男性,はい,3,3,,
8/21/2024 11:20:32,協力します。,35,35,4,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40代,女性,はい,3,3,,
8/21/2024 11:20:32,協力します。,50,60,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60代,男性,いいえ（同居人が捨てる）,4,3,,
8/21/2024 11:20:41,協力します。,70,50,3,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,男性,はい,4,4,,
8/21/2024 11:21:04,協力します。,45,20,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30代,女性,はい,3,3,,
8/21/2024 11:21:18,協力します。,29,49,2,3,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,30代,男性,はい,4,3,,
8/21/2024 11:21:29,協力します。,90,95,4,1,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,70代～,女性,はい,5,5,特にありません,なるべく、生ごみを出さない
8/21/2024 11:21:54,協力します。,3,85,4,1,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,50代,女性,はい,5,5,ポスターの力は非常に強いと思う。分別を徹底してもらうためにベストなポスターを作成してほしい。,なるべくごみを増やさないように商品購入の段階から考えている。
8/21/2024 11:22:00,協力します。,20,100,3,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40代,女性,はい,5,5,,
8/21/2024 11:22:07,協力します。,40,30,2,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,30代,女性,はい,3,3,,
8/21/2024 11:22:26,協力します。,10,80,4,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50代,女性,はい,4,4,,
8/21/2024 11:22:57,協力します。,78,69,2,3,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30代,女性,はい,5,4,,
8/21/2024 11:22:58,協力します。,6,6,4,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,女性,はい,4,3,,
8/21/2024 11:23:22,協力します。,83,50,3,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,男性,はい,4,5,画像ポスター比較のアスキングが拡大できないのでみずらく正確なアスキング回答が行えない印象がある,
8/21/2024 11:24:45,協力します。,6,6,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,女性,はい,4,3,特にない,出来るだけ細かく分別する
8/21/2024 11:25:05,協力します。,70,100,1,2,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50代,女性,はい,4,4,,
8/21/2024 11:25:19,協力します。,20,80,3,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,50代,男性,はい,5,5,,
8/21/2024 11:25:45,協力します。,6,7,1,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,男性,はい,5,5,特になし,特になし
8/21/2024 11:26:00,協力します。,65,85,4,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,女性,はい,4,4,少し威圧的に感じた,できるだけ汚さないようにしている
8/21/2024 11:26:05,協力します。,99,80,2,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40代,女性,はい,3,5,意味意義のあるポスターを作られていると思った,自分はゴミについて勉強をする機会があったので分別の大切さにも気づいたが、勉強の機会がない方には興味が持てないことだと思うので全員にそのような機会があれば良いのにと思う。
8/21/2024 11:26:25,協力します。,1,1,3,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,女性,いいえ（同居人が捨てる）,3,3,,
8/21/2024 11:26:39,協力します。,10,10,3,1,多くの資源ごみが燃やすごみとして分別されています。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,50代,男性,はい,3,3,,
8/21/2024 11:27:09,協力します。,100,100,1,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,女性,はい,4,3,目というものがどれほど無意識に効果的に働きかけているか実感,
8/21/2024 11:27:46,協力します。,65,60,4,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,女性,はい,4,4,,
8/21/2024 11:28:06,協力します。,90,50,2,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,男性,はい,3,3,,
8/21/2024 11:28:17,協力します。,5,5,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60代,女性,はい,4,4,ゴミの分別はホントに大切だと改めて感じました,きちんと分別して燃えるゴミを減らす努力をしている
8/21/2024 11:28:49,協力します。,10,30,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60代,男性,はい,4,3,,
8/21/2024 11:29:12,協力します。,56,80,3,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30代,女性,はい,3,2,普段から紙はリサイクルしているが、今後も継続したいと思った。,紙や段ボールは当たり前のように資源ごみとして扱っている。
8/21/2024 11:29:41,協力します。,60,70,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,男性,はい,5,4,社会に有用なアンケートであると思う,金属や家電の廃棄にも気を使って分別している
8/21/2024 11:30:19,協力します。,5,5,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60代,女性,はい,4,4,,
8/21/2024 11:31:04,協力します。,25,3,3,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,20代,男性,はい,2,2,,
8/21/2024 11:31:13,協力します。,40,40,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,男性,はい,5,3,,
8/21/2024 11:31:39,協力します。,20,70,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,男性,はい,3,3,,
8/21/2024 11:32:10,協力します。,1,1,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,男性,いいえ（同居人が捨てる）,5,1,リサーチするだけ無駄だと感じた,分別などは以前からパーフェクトなんで、意識しなくてもきちんと出来てる
8/21/2024 11:36:38,協力します。,5,5,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60代,女性,はい,4,4,,
8/21/2024 11:36:42,協力します。,30,10,3,2,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,60代,女性,はい,4,5,ごみを道に捨てる人がわからない。分別の事を考える事が大事だ,ゴミは道端に捨てない。仕分けはしっかりやる
8/21/2024 11:39:07,協力します。,5,5,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60代,女性,はい,4,4,,
8/21/2024 11:44:20,協力します。,50,10,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60代,男性,はい,5,4,参考になりました,日頃から、家族で会話等
8/21/2024 12:06:50,協力します。,3,7,4,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,男性,はい,4,4,,
8/21/2024 12:09:01,協力します。,70,100,3,2,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40代,女性,はい,5,4,知らなかった事や、え？と思う言葉のほうが興味がわいて、ポスターをちゃんと見ようとする心理がわいた,ダンボールと紙ごみの分別
8/21/2024 12:21:40,協力します。,12,11,2,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40代,男性,はい,5,4,,
8/21/2024 12:22:45,協力します。,75,1,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40代,男性,はい,4,4,,
8/21/2024 12:22:58,協力します。,5,50,1,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50代,男性,はい,3,3,,
8/21/2024 12:23:00,協力します。,31,50,4,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,男性,はい,3,3,,
8/21/2024 12:23:01,協力します。,10,10,2,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,男性,はい,5,3,,
8/21/2024 12:23:25,協力します。,7,74,2,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40代,女性,いいえ（同居人が捨てる）,4,3,,
8/21/2024 12:25:03,協力します。,50,30,2,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60代,女性,はい,5,4,もう少しインパクトのあるフレーズが欲しかった,行政の指示に忠実に従う
8/21/2024 12:37:08,協力します。,8,5,1,3,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40代,男性,はい,3,3,,
8/21/2024 12:37:35,協力します。,97,35,1,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40代,男性,はい,2,5,なし,なし
8/21/2024 12:37:58,協力します。,6,72,1,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40代,男性,はい,4,4,,
8/21/2024 12:38:03,協力します。,50,50,1,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40代,男性,はい,5,5,,
8/21/2024 12:38:12,協力します。,5,4,2,1,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60代,女性,はい,3,3,矛盾してる,特になし
8/21/2024 12:39:37,協力します。,50,80,2,3,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,男性,はい,5,5,,
8/21/2024 12:40:10,協力します。,4,5,2,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40代,女性,いいえ（同居人が捨てる）,3,4,,
