TimeStamp,Is_Participate,PosterScore,PhraseScore,ChooseHigh_Poster,ChooseLow_Poster,ChooseHigh_Phrases1,ChooseHigh_Phrases2,ChooseHigh_Phrases3,Age,Sex,ThrowOut,Awareness_Tra,Awareness_Env,Thoughts,Acton,SuveyType,PraseType,,
8/21/2024 11:13:42,Yes,6,8,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,No,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:14:34,Yes,50,60,3,4,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,5,5,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:14:54,Yes,65,95,3,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,4,4,,分別はキチンとする,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:15:45,Yes,85,1,1,4,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,10dai,male,Yes,5,1,ちょっと意味がわからない,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:15:51,Yes,40,60,3,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,3,2,,ペットボトルのラベルを剥がしている,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:15:54,Yes,47,15,4,2,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:16:05,Yes,20,20,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,30dai,other,other,1,1,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:16:11,Yes,5,10,2,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,No,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:16:21,Yes,45,30,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,male,Yes,4,3,,リサイクルできるものは近隣のスーパーで回収してもらう。,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:16:32,Yes,46,30,4,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:16:33,Yes,6,8,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30dai,female,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:16:34,Yes,10,100,3,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,No,4,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:16:42,Yes,8,8,3,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,No,3,4,資源ごみの理解度が必要と感じました。,ゴミの分別は意識しています。,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:16:59,Yes,50,56,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:17:46,Yes,4,2,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:17:50,Yes,70,60,2,3,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,female,No,3,3,文章は難しい,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:19:30,Yes,20,100,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,5,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:20:17,Yes,5,1,2,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:20:32,Yes,35,35,4,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40dai,female,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:20:32,Yes,50,60,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60dai,male,No,4,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:20:41,Yes,70,50,3,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:21:04,Yes,45,20,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,female,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:21:18,Yes,29,49,2,3,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,4,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:21:29,Yes,90,95,4,1,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,70dai,female,Yes,5,5,特にありません,なるべく、生ごみを出さない,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:21:54,Yes,3,85,4,1,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,5,5,ポスターの力は非常に強いと思う。分別を徹底してもらうためにベストなポスターを作成してほしい。,なるべくごみを増やさないように商品購入の段階から考えている。,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:22:07,Yes,40,30,2,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,30dai,female,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:22:26,Yes,10,80,4,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:22:57,Yes,78,69,2,3,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,female,Yes,5,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:22:58,Yes,6,6,4,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:23:22,Yes,83,50,3,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,4,5,画像ポスター比較のアスキングが拡大できないのでみずらく正確なアスキング回答が行えない印象がある,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:24:45,Yes,6,6,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,特にない,出来るだけ細かく分別する,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:25:05,Yes,70,100,1,2,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:25:19,Yes,20,80,3,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,50dai,male,Yes,5,5,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:26:00,Yes,65,85,4,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,female,Yes,4,4,少し威圧的に感じた,できるだけ汚さないようにしている,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:26:05,Yes,99,80,2,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,female,Yes,3,5,意味意義のあるポスターを作られていると思った,自分はゴミについて勉強をする機会があったので分別の大切さにも気づいたが、勉強の機会がない方には興味が持てないことだと思うので全員にそのような機会があれば良いのにと思う。,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:26:25,Yes,1,1,3,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,female,No,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:26:39,Yes,10,10,3,1,多くの資源ごみが燃やすごみとして分別されています。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,50dai,male,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:27:09,Yes,100,100,1,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,目というものがどれほど無意識に効果的に働きかけているか実感,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:27:46,Yes,65,60,4,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,female,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:28:17,Yes,5,5,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,4,4,ゴミの分別はホントに大切だと改めて感じました,きちんと分別して燃えるゴミを減らす努力をしている,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:28:49,Yes,10,30,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60dai,male,Yes,4,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:29:12,Yes,56,80,3,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,female,Yes,3,2,普段から紙はリサイクルしているが、今後も継続したいと思った。,紙や段ボールは当たり前のように資源ごみとして扱っている。,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:29:41,Yes,60,70,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,5,4,社会に有用なアンケートであると思う,金属や家電の廃棄にも気を使って分別している,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:30:19,Yes,5,5,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:31:04,Yes,25,3,3,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,20dai,male,Yes,2,2,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:31:13,Yes,40,40,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,5,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:31:39,Yes,20,70,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:32:10,Yes,1,1,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,No,5,1,リサーチするだけ無駄だと感じた,分別などは以前からパーフェクトなんで、意識しなくてもきちんと出来てる,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:36:38,Yes,5,5,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:36:42,Yes,30,10,3,2,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,60dai,female,Yes,4,5,ごみを道に捨てる人がわからない。分別の事を考える事が大事だ,ゴミは道端に捨てない。仕分けはしっかりやる,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:39:07,Yes,5,5,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:44:20,Yes,50,10,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60dai,male,Yes,5,4,参考になりました,日頃から、家族で会話等,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:06:50,Yes,3,7,4,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:09:01,Yes,70,100,3,2,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,female,Yes,5,4,知らなかった事や、え？と思う言葉のほうが興味がわいて、ポスターをちゃんと見ようとする心理がわいた,ダンボールと紙ごみの分別,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:21:40,Yes,12,11,2,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,5,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:22:45,Yes,75,1,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:23:00,Yes,31,50,4,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:23:01,Yes,10,10,2,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,5,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:23:25,Yes,7,74,2,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,female,No,4,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:25:03,Yes,50,30,2,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,5,4,もう少しインパクトのあるフレーズが欲しかった,行政の指示に忠実に従う,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:37:08,Yes,8,5,1,3,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:37:58,Yes,6,72,1,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:38:03,Yes,50,50,1,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,male,Yes,5,5,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:38:12,Yes,5,4,2,1,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,3,3,矛盾してる,特になし,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:39:37,Yes,50,80,2,3,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,5,5,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 12:40:10,Yes,4,5,2,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,female,No,3,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:02:55,Yes,45,10,3,4,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,other,other,2,2,,,a2,紙は資源ごみに分別してください。,,
8/21/2024 11:04:20,Yes,68,93,4,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,female,Yes,4,2,,,a2,紙は資源ごみに分別してください。,,
8/21/2024 11:04:42,Yes,70,85,4,3,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,4,3,,,a2,紙は資源ごみに分別してください。,,
8/21/2024 11:05:42,Yes,8,8,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,20dai,female,Yes,3,2,,,a2,紙は資源ごみに分別してください。,,
8/21/2024 11:05:47,Yes,65,75,4,3,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,male,No,2,3,,,a2,紙は資源ごみに分別してください。,,
8/21/2024 11:05:58,Yes,75,85,2,1,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40dai,male,No,4,4,,,a2,紙は資源ごみに分別してください。,,
