,TimeStamp,SurvayType,PosterScore,ChooseHigh_Poster,ChooseLow_Poster,ChooseHigh_Phrases1,ChooseHigh_Phrases2,ChooseHigh_Phrases3,Age,Sex,ThrowOut,Awareness_Tra,Awareness_Env,Thoughts,Acton
23,8/21/2024 11:09:50,A1,30,4,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,3,3,NA,NA
24,8/21/2024 11:10:01,A1,75,1,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,male,Yes,4,3,NA,NA
25,8/21/2024 11:10:39,A1,5,4,3,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30dai,female,No,3,3,NA,NA
26,8/21/2024 11:10:39,A1,60,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,male,Yes,4,2,NA,NA
27,8/21/2024 11:11:02,A1,60,4,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,female,No,2,3,NA,NA
28,8/21/2024 11:11:07,A1,99,1,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,male,Yes,5,5,しっかり捨てる,特にない
29,8/21/2024 11:11:42,A1,50,2,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,20dai,male,No,1,1,NA,NA
30,8/21/2024 11:12:09,A1,100,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60dai,female,Yes,4,4,環境保護のためにも分別は大切,NA
31,8/21/2024 11:12:37,A1,51,3,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,3,3,NA,NA
32,8/21/2024 11:13:20,A1,80,2,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30dai,female,Yes,4,3,NA,NA
33,8/21/2024 11:13:39,A1,5,1,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,60dai,male,Yes,3,3,NA,NA
34,8/21/2024 11:13:42,A1,6,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,No,4,4,NA,NA
35,8/21/2024 11:14:34,A1,50,3,4,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,5,5,NA,NA
36,8/21/2024 11:14:54,A1,65,3,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,4,4,NA,分別はキチンとする
37,8/21/2024 11:15:45,A1,85,1,4,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,10dai,male,Yes,5,1,ちょっと意味がわからない,NA
38,8/21/2024 11:15:51,A1,40,3,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,3,2,NA,ペットボトルのラベルを剥がしている
39,8/21/2024 11:15:54,A1,47,4,2,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,NA,NA
40,8/21/2024 11:16:05,A1,20,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,30dai,other,other,1,1,NA,NA
41,8/21/2024 11:16:11,A1,5,2,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,No,4,4,NA,NA
42,8/21/2024 11:16:21,A1,45,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,male,Yes,4,3,NA,リサイクルできるものは近隣のスーパーで回収してもらう。
43,8/21/2024 11:16:32,A1,46,4,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,3,3,NA,NA
44,8/21/2024 11:16:33,A1,6,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30dai,female,Yes,3,3,NA,NA
45,8/21/2024 11:16:34,A1,10,3,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,No,4,3,NA,NA
46,8/21/2024 11:16:42,A1,8,3,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,No,3,4,資源ごみの理解度が必要と感じました。,ゴミの分別は意識しています。
47,8/21/2024 11:16:59,A1,50,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,3,3,NA,NA
48,8/21/2024 11:17:46,A1,4,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,4,4,NA,NA
49,8/21/2024 11:17:50,A1,70,2,3,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,female,No,3,3,文章は難しい,NA
50,8/21/2024 11:19:30,A1,20,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,5,3,NA,NA
51,8/21/2024 11:20:17,A1,5,2,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,NA,NA
52,8/21/2024 11:20:32,A1,35,4,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40dai,female,Yes,3,3,NA,NA
53,8/21/2024 11:20:32,A1,50,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60dai,male,No,4,3,NA,NA
54,8/21/2024 11:20:41,A1,70,3,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,4,4,NA,NA
55,8/21/2024 11:21:04,A1,45,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,female,Yes,3,3,NA,NA
56,8/21/2024 11:21:18,A1,29,2,3,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,4,3,NA,NA
57,8/21/2024 11:21:29,A1,90,4,1,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,70dai,female,Yes,5,5,特にありません,なるべく、生ごみを出さない
58,8/21/2024 11:21:54,A1,3,4,1,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,5,5,ポスターの力は非常に強いと思う。分別を徹底してもらうためにベストなポスターを作成してほしい。,なるべくごみを増やさないように商品購入の段階から考えている。
59,8/21/2024 11:22:07,A1,40,2,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,30dai,female,Yes,3,3,NA,NA
60,8/21/2024 11:22:26,A1,10,4,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,4,4,NA,NA
61,8/21/2024 11:22:57,A1,78,2,3,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,female,Yes,5,4,NA,NA
62,8/21/2024 11:22:58,A1,6,4,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,NA,NA
63,8/21/2024 11:23:22,A1,83,3,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,4,5,画像ポスター比較のアスキングが拡大できないのでみずらく正確なアスキング回答が行えない印象がある,NA
64,8/21/2024 11:24:45,A1,6,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,特にない,出来るだけ細かく分別する
65,8/21/2024 11:25:05,A1,70,1,2,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,4,4,NA,NA
66,8/21/2024 11:25:19,A1,20,3,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,50dai,male,Yes,5,5,NA,NA
67,8/21/2024 11:26:00,A1,65,4,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,female,Yes,4,4,少し威圧的に感じた,できるだけ汚さないようにしている
68,8/21/2024 11:26:05,A1,99,2,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,female,Yes,3,5,意味意義のあるポスターを作られていると思った,自分はゴミについて勉強をする機会があったので分別の大切さにも気づいたが、勉強の機会がない方には興味が持てないことだと思うので全員にそのような機会があれば良いのにと思う。
69,8/21/2024 11:26:25,A1,1,3,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,female,No,3,3,NA,NA
70,8/21/2024 11:26:39,A1,10,3,1,多くの資源ごみが燃やすごみとして分別されています。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,50dai,male,Yes,3,3,NA,NA
71,8/21/2024 11:27:09,A1,100,1,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,目というものがどれほど無意識に効果的に働きかけているか実感,NA
72,8/21/2024 11:27:46,A1,65,4,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,female,Yes,4,4,NA,NA
73,8/21/2024 11:28:17,A1,5,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,4,4,ゴミの分別はホントに大切だと改めて感じました,きちんと分別して燃えるゴミを減らす努力をしている
74,8/21/2024 11:28:49,A1,10,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60dai,male,Yes,4,3,NA,NA
75,8/21/2024 11:29:12,A1,56,3,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,female,Yes,3,2,普段から紙はリサイクルしているが、今後も継続したいと思った。,紙や段ボールは当たり前のように資源ごみとして扱っている。
76,8/21/2024 11:29:41,A1,60,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,5,4,社会に有用なアンケートであると思う,金属や家電の廃棄にも気を使って分別している
77,8/21/2024 11:30:19,A1,5,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,4,4,NA,NA
78,8/21/2024 11:31:04,A1,25,3,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,20dai,male,Yes,2,2,NA,NA
79,8/21/2024 11:31:13,A1,40,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,5,3,NA,NA
80,8/21/2024 11:31:39,A1,20,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,NA,NA
81,8/21/2024 11:32:10,A1,1,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,No,5,1,リサーチするだけ無駄だと感じた,分別などは以前からパーフェクトなんで、意識しなくてもきちんと出来てる
82,8/21/2024 11:36:38,A1,5,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,4,4,NA,NA
83,8/21/2024 11:36:42,A1,30,3,2,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,60dai,female,Yes,4,5,ごみを道に捨てる人がわからない。分別の事を考える事が大事だ,ゴミは道端に捨てない。仕分けはしっかりやる
84,8/21/2024 11:39:07,A1,5,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,4,4,NA,NA
85,8/21/2024 11:44:20,A1,50,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60dai,male,Yes,5,4,参考になりました,日頃から、家族で会話等
86,8/21/2024 12:06:50,A1,3,4,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,4,4,NA,NA
87,8/21/2024 12:09:01,A1,70,3,2,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,female,Yes,5,4,知らなかった事や、え？と思う言葉のほうが興味がわいて、ポスターをちゃんと見ようとする心理がわいた,ダンボールと紙ごみの分別
88,8/21/2024 12:21:40,A1,12,2,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,5,4,NA,NA
89,8/21/2024 12:22:45,A1,75,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,4,4,NA,NA
90,8/21/2024 12:23:00,A1,31,4,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,NA,NA
91,8/21/2024 12:23:01,A1,10,2,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,5,3,NA,NA
92,8/21/2024 12:23:25,A1,7,2,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,female,No,4,3,NA,NA
93,8/21/2024 12:25:03,A1,50,2,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,5,4,もう少しインパクトのあるフレーズが欲しかった,行政の指示に忠実に従う
94,8/21/2024 12:37:08,A1,8,1,3,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,3,3,NA,NA
95,8/21/2024 12:37:58,A1,6,1,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,4,4,NA,NA
96,8/21/2024 12:38:03,A1,50,1,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,male,Yes,5,5,NA,NA
97,8/21/2024 12:38:12,A1,5,2,1,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,3,3,矛盾してる,特になし
98,8/21/2024 12:39:37,A1,50,2,3,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,5,5,NA,NA
99,8/21/2024 12:40:10,A1,4,2,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,female,No,3,4,NA,NA
100,8/21/2024 11:02:55,A2,45,3,4,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,other,other,2,2,NA,NA
101,8/21/2024 11:04:20,A2,68,4,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,female,Yes,4,2,NA,NA
102,8/21/2024 11:04:42,A2,70,4,3,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,4,3,NA,NA
103,8/21/2024 11:05:42,A2,8,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,20dai,female,Yes,3,2,NA,NA
104,8/21/2024 11:05:47,A2,65,4,3,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,male,No,2,3,NA,NA
105,8/21/2024 11:05:58,A2,75,2,1,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40dai,male,No,4,4,NA,NA
106,8/21/2024 11:06:48,A2,75,2,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,No,3,3,紙は資源ゴミ,特になし
107,8/21/2024 11:06:54,A2,5,2,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,5,4,NA,NA
108,8/21/2024 11:06:58,A2,80,2,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,NA,NA
109,8/21/2024 11:07:11,A2,80,3,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,NA,NA
110,8/21/2024 11:07:39,A2,10,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,female,No,4,3,NA,NA
111,8/21/2024 11:07:39,A2,90,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,2,2,NA,NA
112,8/21/2024 11:07:56,A2,6,3,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,female,Yes,4,2,NA,NA
113,8/21/2024 11:08:01,A2,50,3,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,NA,NA
114,8/21/2024 11:08:03,A2,86,1,4,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,NA,NA
115,8/21/2024 11:08:34,A2,60,1,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,20dai,female,Yes,2,3,分別しようと思った,出来る範囲で分別している
116,8/21/2024 11:08:37,A2,85,2,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,5,3,NA,NA
117,8/21/2024 11:09:23,A2,5,3,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,female,No,2,2,NA,NA
118,8/21/2024 11:09:55,A2,6,2,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,other,other,other,3,3,NA,NA
119,8/21/2024 11:10:24,A2,60,4,2,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,20dai,female,Yes,3,3,NA,NA
120,8/21/2024 11:10:34,A2,80,2,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,male,Yes,3,3,人間としてのマナーである,特になし
121,8/21/2024 11:10:36,A2,4,3,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40dai,female,Yes,3,3,NA,NA
122,8/21/2024 11:10:39,A2,50,3,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,20dai,female,Yes,3,3,NA,NA
123,8/21/2024 11:10:40,A2,70,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,5,5,どれだけ真意性のある回答となるか。,気を付けていてもモレがある。そこを気を付けるべき。
124,8/21/2024 11:11:13,A2,85,2,3,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,60dai,male,No,5,3,分別の重要性を再認識しました。,電池は、その都度、家族に依頼する。
125,8/21/2024 11:11:13,A2,45,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,3,4,NA,NA
